,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,Density Value,Density Uncertainty
0,293.15 kelvin,101.0 kilopascal,2,1,C(C(Br)Br)(Br)Br,1.0,,,,,,,,,,,2.37642290182117 gram / milliliter,0.00038745150422104824 gram / milliliter
1,298.15 kelvin,101.0 kilopascal,2,2,C(CCO)CO,0.7947,O,0.20530000000000004,,,,,,,-114.50419395838253 kilogram * meter ** 2 / mole / second ** 2,16.551686854874024 kilogram * meter ** 2 / mole / second ** 2,,
2,303.15 kelvin,101.325 kilopascal,2,1,C(CO)NCCO,1.0,,,16.907720487603978 dimensionless,1.491214390912708 dimensionless,,,,,,,1.0354221949587217 gram / milliliter,0.0001851399539589511 gram / milliliter
3,298.15 kelvin,101.0 kilopascal,2,2,C(COCCO)O,0.7906,O,0.2094,,,,,,,131.24027599787223 kilogram * meter ** 2 / mole / second ** 2,16.273890135276556 kilogram * meter ** 2 / mole / second ** 2,,
4,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Br,1.0,,,,,,,,,,,1.978415722414417 gram / milliliter,0.0004126732830790885 gram / milliliter
5,298.15 kelvin,101.0 kilopascal,2,1,C1CCS(=O)(=O)C1,1.0,,,9.283827407584761 dimensionless,1.3125033174103955 dimensionless,,,,,,,1.294143043187618 gram / milliliter,0.00013073184234118254 gram / milliliter
6,298.15 kelvin,101.0 kilopascal,2,2,C1COCCN1,0.7149,O,0.2851,,,,,,,-1606.0966338540748 kilogram * meter ** 2 / mole / second ** 2,15.991286336036008 kilogram * meter ** 2 / mole / second ** 2,,
7,303.15 kelvin,101.325 kilopascal,2,1,CC(=O)N(C)C,1.0,,,21.573198785315864 dimensionless,1.4318200408139472 dimensionless,,,,,,,0.9343725903620891 gram / milliliter,0.00015409891869625473 gram / milliliter
8,298.15 kelvin,101.0 kilopascal,2,1,CC(=O)c1cccs1,1.0,,,14.500286556666913 dimensionless,1.0444975109560706 dimensionless,,,,,,,1.1583347766246896 gram / milliliter,0.00014551127758781018 gram / milliliter
9,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.7903,C(=C(Cl)Cl)Cl,0.2097,,,-6.593836050955459e-08 meter ** 3 / mole,1.605136265360603e-08 meter ** 3 / mole,,,,,,
10,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.2077,C(=C(Cl)Cl)Cl,0.7923,,,-8.533618178764547e-08 meter ** 3 / mole,1.5803153397313663e-08 meter ** 3 / mole,,,,,,
11,298.15 kelvin,101.325 kilopascal,2,1,C(=C(Cl)Cl)Cl,1.0,,,,,,,,,,,1.4008248044676292 gram / milliliter,0.0004226265607503769 gram / milliliter
12,303.28 kelvin,100.4 kilopascal,2,1,C(=C(F)F)(C(F)(F)F)F,1.0,,,,,,,,,,,1.4355077168274248 gram / milliliter,0.0004362116309350511 gram / milliliter
13,293.15 kelvin,101.325 kilopascal,2,1,C(=O)(C(F)(F)F)O,1.0,,,,,,,,,,,1.5570844593064603 gram / milliliter,0.00038073672792912703 gram / milliliter
14,298.15 kelvin,101.325 kilopascal,2,1,C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,,,,,,,,,,,2.087667798541996 gram / milliliter,0.00033699538157861867 gram / milliliter
15,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)(C(F)(F)F)O,0.205,O,0.795,,,3.7277865032405734e-07 meter ** 3 / mole,1.712072758905123e-08 meter ** 3 / mole,,,,,,
16,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)(C(F)(F)F)O,0.8065,O,0.1935,,,1.8091144615227752e-07 meter ** 3 / mole,1.4290770896544807e-08 meter ** 3 / mole,,,,,,
17,298.15 kelvin,101.325 kilopascal,2,1,C(C(F)(F)F)(C(F)(F)F)O,1.0,,,,,,,,,,,1.617432106046422 gram / milliliter,0.00038653677502190276 gram / milliliter
18,293.2195 kelvin,100.049 kilopascal,2,1,C(C(F)(F)F)F,1.0,,,,,,,,,,,1.334915444665003 gram / milliliter,0.00036751417535979894 gram / milliliter
19,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.20133,CCCO,0.79867,,,,,,,-417.4756645906673 kilogram * meter ** 2 / mole / second ** 2,16.77558601585074 kilogram * meter ** 2 / mole / second ** 2,,
20,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.7170000000000001,C(C(F)(F)F)O,0.28300000000000003,,,,,,,-1692.3825811829738 kilogram * meter ** 2 / mole / second ** 2,19.142013001335066 kilogram * meter ** 2 / mole / second ** 2,,
21,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29705,CO,0.70295,,,,,,,-407.86597312779486 kilogram * meter ** 2 / mole / second ** 2,18.312255009806428 kilogram * meter ** 2 / mole / second ** 2,,
22,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29878000000000005,O,0.70122,,,,,,,622.6392854432961 kilogram * meter ** 2 / mole / second ** 2,17.53850138152504 kilogram * meter ** 2 / mole / second ** 2,,
23,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29919,CCO,0.7008099999999999,,,,,,,-513.1523385175169 kilogram * meter ** 2 / mole / second ** 2,17.97819397178733 kilogram * meter ** 2 / mole / second ** 2,,
24,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.7077899999999999,O,0.29220999999999997,,,,,,,346.2571856277791 kilogram * meter ** 2 / mole / second ** 2,16.272213546156554 kilogram * meter ** 2 / mole / second ** 2,,
25,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.70985,CO,0.29015,,,,,,,-350.55777619317814 kilogram * meter ** 2 / mole / second ** 2,16.686287208187732 kilogram * meter ** 2 / mole / second ** 2,,
26,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.212,C(C(F)(F)F)O,0.7879999999999999,,,,,,,-1406.9938714072487 kilogram * meter ** 2 / mole / second ** 2,16.262927571983887 kilogram * meter ** 2 / mole / second ** 2,,
27,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79638,CCO,0.20362,,,,,,,-252.60741694764874 kilogram * meter ** 2 / mole / second ** 2,15.784657055194941 kilogram * meter ** 2 / mole / second ** 2,,
28,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79867,CCCO,0.20133,,,,,,,-236.67619770905003 kilogram * meter ** 2 / mole / second ** 2,16.82501016641369 kilogram * meter ** 2 / mole / second ** 2,,
29,298.15 kelvin,101.325 kilopascal,2,1,C(C(F)(F)F)O,1.0,,,,,,,,,,,1.3655078084748506 gram / milliliter,0.0003857201034952323 gram / milliliter
30,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2146,CCCCOC(=O)C,0.7854,,,,,,,-332.02523611626566 kilogram * meter ** 2 / mole / second ** 2,16.812597510142268 kilogram * meter ** 2 / mole / second ** 2,,
31,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7738,C(CBr)Br,0.2262,,,-1.2820964592886823e-07 meter ** 3 / mole,1.710616655392699e-08 meter ** 3 / mole,,,,,,
32,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2547,CCCCOC(=O)C,0.7453000000000001,,,-2.5205523638082805e-07 meter ** 3 / mole,1.7716652129693775e-08 meter ** 3 / mole,,,,,,
33,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7275,C(CBr)Br,0.2725,,,,,,,-48.0574946548295 kilogram * meter ** 2 / mole / second ** 2,17.3303606080848 kilogram * meter ** 2 / mole / second ** 2,,
34,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.3993,C(CBr)Br,0.6007,,,-2.0226693450856395e-07 meter ** 3 / mole,1.8014862123184152e-08 meter ** 3 / mole,,,-20.239713820494217 kilogram * meter ** 2 / mole / second ** 2,18.98047578254793 kilogram * meter ** 2 / mole / second ** 2,,
35,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7476,CCCCOC(=O)C,0.2524,,,-3.0152731053037366e-07 meter ** 3 / mole,1.838285135595067e-08 meter ** 3 / mole,,,,,,
36,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7661,CCCCOC(=O)C,0.2339,,,,,,,-419.6765492151826 kilogram * meter ** 2 / mole / second ** 2,17.140674261644943 kilogram * meter ** 2 / mole / second ** 2,,
37,295.15 kelvin,101.325 kilopascal,2,1,C(CBr)Br,1.0,,,,,,,,,,,2.1321548926366334 gram / milliliter,0.000412590185406665 gram / milliliter
38,298.15 kelvin,101.325 kilopascal,2,1,C(CBr)Cl,1.0,,,,,,,,,,,1.6977183885010003 gram / milliliter,0.00034892081756086776 gram / milliliter
39,298.15 kelvin,101.325 kilopascal,2,1,C(CCBr)CCl,1.0,,,,,,,,,,,1.4608313113361189 gram / milliliter,0.000422478970855864 gram / milliliter
40,298.15 kelvin,101.0 kilopascal,2,2,O,0.7847,C(CCO)CO,0.2153,,,2.2487272973531166e-08 meter ** 3 / mole,1.425431057548978e-08 meter ** 3 / mole,,,,,,
41,298.15 kelvin,101.0 kilopascal,2,2,C(CCO)CO,0.2658,O,0.7342,,,,,,,294.428554300237 kilogram * meter ** 2 / mole / second ** 2,18.46142826310471 kilogram * meter ** 2 / mole / second ** 2,,
42,298.15 kelvin,101.0 kilopascal,2,2,O,0.2297,C(CCO)CO,0.7703,,,-6.787396824751513e-08 meter ** 3 / mole,1.5757331685857407e-08 meter ** 3 / mole,,,,,,
43,298.15 kelvin,101.325 kilopascal,2,1,C(CCO)CO,1.0,,,,,,,69558.68548147459 kilogram * meter ** 2 / mole / second ** 2,359.29281658350016 kilogram * meter ** 2 / mole / second ** 2,,,0.9842292309189155 gram / milliliter,0.0003085839321355384 gram / milliliter
44,298.15 kelvin,101.325 kilopascal,2,1,C(CCl)CBr,1.0,,,,,,,,,,,1.5575346711289224 gram / milliliter,0.0003644738842305165 gram / milliliter
45,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.2087,O,0.7913,,,,,,,158.57418278302066 kilogram * meter ** 2 / mole / second ** 2,15.06121029256765 kilogram * meter ** 2 / mole / second ** 2,,
46,298.15 kelvin,101.0 kilopascal,2,2,O,0.7551,C(CO)CO,0.2449,,,-1.672137235758043e-07 meter ** 3 / mole,1.5007817918688615e-08 meter ** 3 / mole,,,,,,
47,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.743,O,0.257,,,,,,,-68.547317012024 kilogram * meter ** 2 / mole / second ** 2,16.012648592918964 kilogram * meter ** 2 / mole / second ** 2,,
48,298.15 kelvin,101.0 kilopascal,2,2,O,0.2554,C(CO)CO,0.7446,,,-2.1806199907688304e-07 meter ** 3 / mole,1.639565003889928e-08 meter ** 3 / mole,,,,,,
49,298.15 kelvin,101.325 kilopascal,2,1,C(CO)CO,1.0,,,,,,,55033.30843023465 kilogram * meter ** 2 / mole / second ** 2,447.0270844288571 kilogram * meter ** 2 / mole / second ** 2,,,0.9908900364794176 gram / milliliter,0.0003623437959112346 gram / milliliter
50,303.15 kelvin,101.325 kilopascal,2,1,C(CO)N(CCO)CCO,1.0,,,6.67042100769391 dimensionless,1.0825702490262064 dimensionless,,,,,,,1.0986145873469346 gram / milliliter,0.0002333918916642528 gram / milliliter
51,303.15 kelvin,101.0 kilopascal,2,1,C(CO)N,1.0,,,29.10419035619592 dimensionless,1.4131291514818816 dimensionless,,,,,,,0.92447592281691 gram / milliliter,0.00020451289304499978 gram / milliliter
52,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.20509999999999995,O,0.7949,,,,,,,-159.25622486071734 kilogram * meter ** 2 / mole / second ** 2,17.646598912033536 kilogram * meter ** 2 / mole / second ** 2,,
53,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.25008,O,0.7499199999999999,,,-1.5908979550279646e-07 meter ** 3 / mole,1.3061558236640352e-08 meter ** 3 / mole,,,,,,
54,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.77876,O,0.22124,,,-3.512929045022855e-08 meter ** 3 / mole,1.4269921043689272e-08 meter ** 3 / mole,,,,,,
55,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.7908999999999999,O,0.2091,,,,,,,-208.4443853219127 kilogram * meter ** 2 / mole / second ** 2,15.638707231582197 kilogram * meter ** 2 / mole / second ** 2,,
56,298.15 kelvin,101.325 kilopascal,2,1,C(CO)O,1.0,,,,,,,50247.56318806888 kilogram * meter ** 2 / mole / second ** 2,203.75462407733886 kilogram * meter ** 2 / mole / second ** 2,,,1.0356363038039367 gram / milliliter,0.000273016667792925 gram / milliliter
57,303.15 kelvin,101.325 kilopascal,2,1,C(CO)O,1.0,,,21.17561195116161 dimensionless,1.3141861179951333 dimensionless,,,,,,,1.030286474697684 gram / milliliter,0.00029508419728012007 gram / milliliter
58,298.15 kelvin,101.0 kilopascal,2,2,C(COCCO)O,0.20020000000000004,O,0.7998,,,,,,,-294.3495786559861 kilogram * meter ** 2 / mole / second ** 2,17.35649338790795 kilogram * meter ** 2 / mole / second ** 2,,
59,298.15 kelvin,101.0 kilopascal,2,1,C(COCCO)O,1.0,,,10.384758397925616 dimensionless,0.9286556712199833 dimensionless,,,,,,,1.0740999261732738 gram / milliliter,0.00019488746534194462 gram / milliliter
60,298.15 kelvin,101.0 kilopascal,2,1,C(COCCOCCO)O,1.0,,,12.430236770151936 dimensionless,1.0899978504985508 dimensionless,,,,,,,1.0780478163170493 gram / milliliter,0.0002329207770907389 gram / milliliter
61,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.7326,C(Cl)(Cl)(Cl)Cl,0.2674,,,,,,,732.240916122023 kilogram * meter ** 2 / mole / second ** 2,17.349573483877485 kilogram * meter ** 2 / mole / second ** 2,,
62,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.2551,C(Cl)(Cl)(Cl)Cl,0.7449,,,,,,,963.136655918232 kilogram * meter ** 2 / mole / second ** 2,14.718282445364647 kilogram * meter ** 2 / mole / second ** 2,,
